TABLO-4 2024 Yýlý Merkezi Yerleþtirme Ýle Öðrenci Alan Yükseköðretim Lisans Programlarý;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Genel Kontenjan;;;;Okul Birincisi Kontenjaný;;;;Depremzede Aday Kontenjaný;;;;34 Yaþ Üstü Kadýn Kontenjaný;;;;Þehit Yakýný-Gazi/Gazi Yakýný Kontenjaný;;;
Program Kodu;Üniversite Türü;Üniversite Adý;Fakülte/Yüksekokul Adý;Program Adý;Puan Türü;Kontenjan;Yerleþen;En Küçük Puan;En Büyük Puan;Kontenjan;Yerleþen;En Küçük Puan;En Büyük Puan;Kontenjan;Yerleþen;En Küçük Puan;En Büyük Puan;Kontenjan;Yerleþen;En Küçük Puan;En Büyük Puan;Kontenjan;Yerleþen;En Küçük Puan;En Büyük Puan
100910231;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Eðitim Fakültesi;Ýngilizce Öðretmenliði;DÝL;40;40;409,21131;437,16559;1;1;320,53857;320,53857;--;--;--;--;--;--;--;--;--;--;--;--
100910037;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Eðitim Fakültesi;Okul Öncesi Öðretmenliði;SÖZ;50;50;408,30801;427,68060;2;2;370,44996;375,42658;--;--;--;--;--;--;--;--;--;--;--;--
100910082;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Eðitim Fakültesi;Rehberlik ve Psikolojik Danýþmanlýk;EA;50;50;341,25007;368,73588;2;2;309,14143;310,47093;--;--;--;--;--;--;--;--;--;--;--;--
100910046;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Eðitim Fakültesi;Sýnýf Öðretmenliði;EA;30;30;352,30617;365,18624;1;1;324,76159;324,76159;--;--;--;--;--;--;--;--;--;--;--;--
100910055;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Eðitim Fakültesi;Sosyal Bilgiler Öðretmenliði;SÖZ;50;52;353,74083;433,73834;2;0;--;--;--;--;--;--;--;--;--;--;--;--;--;--
100910064;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Eðitim Fakültesi;Türkçe Öðretmenliði;SÖZ;50;51;389,79858;404,92793;2;1;321,89989;321,89989;--;--;--;--;--;--;--;--;--;--;--;--
100990109;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Fen-Edebiyat Fakültesi;Ýngilizce Mütercim ve Tercümanlýk;DÝL;60;62;376,60071;456,76600;2;0;--;--;--;--;--;--;2;0;--;--;--;--;--;--
100910143;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Fen-Edebiyat Fakültesi;Matematik;SAY;30;31;267,89552;308,36598;1;0;--;--;--;--;--;--;1;1;215,40326;215,40326;--;--;--;--
100910204;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Fen-Edebiyat Fakültesi;Tarih;SÖZ;30;31;291,62261;399,99215;1;0;--;--;--;--;--;--;1;1;254,50083;254,50083;--;--;--;--
100910249;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Fen-Edebiyat Fakültesi;Türk Dili ve Edebiyatý;SÖZ;30;31;310,31616;341,32577;1;0;--;--;--;--;--;--;1;1;219,15164;219,15164;--;--;--;--
100910267;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Ýlahiyat Fakültesi;Ýlahiyat;SÖZ;120;123;282,94082;414,99547;3;0;--;--;--;--;--;--;3;3;277,76374;282,48605;--;--;--;--
100990046;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Ýlahiyat Fakültesi;Ýlahiyat (M.T.O.K.);SÖZ;12;12;280,36347;328,97870;--;--;--;--;--;--;--;--;1;1;276,36743;276,36743;--;--;--;--
100990034;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Merzifon Ýktisadi ve Ýdari Bilimler Fakültesi;Havacýlýk Yönetimi;EA;55;56;304,20290;330,35592;2;1;224,81570;224,81570;--;--;--;--;--;--;--;--;--;--;--;--
100990022;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Merzifon Ýktisadi ve Ýdari Bilimler Fakültesi;Ýktisat;EA;60;62;229,87116;314,55013;2;0;--;--;--;--;--;--;2;2;198,13918;199,40038;--;--;--;--
100990038;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Merzifon Ýktisadi ve Ýdari Bilimler Fakültesi;Siyaset Bilimi ve Kamu Yönetimi;EA;65;67;239,86908;293,32378;2;0;--;--;--;--;--;--;2;0;--;--;--;--;--;--
100910258;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Mimarlýk Fakültesi;Kentsel Tasarým ve Peyzaj Mimarlýðý;SAY;45;47;243,17742;294,28216;2;0;--;--;--;--;--;--;2;2;186,15316;191,40630;--;--;--;--
100990116;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Mimarlýk Fakültesi;Mimarlýk;SAY;30;2;305,13089;307,58418;1;0;--;--;--;--;--;--;--;--;--;--;--;--;--;--
100910152;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Mimarlýk Fakültesi;Þehir ve Bölge Planlama;SAY;40;41;239,11358;267,87347;1;0;--;--;--;--;--;--;1;1;208,39128;208,39128;--;--;--;--
100990081;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;Bilgisayar Mühendisliði;SAY;75;77;333,87820;370,11709;2;0;--;--;--;--;--;--;--;--;--;--;--;--;--;--
100990088;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;Elektrik-Elektronik Mühendisliði;SAY;50;52;295,26487;329,17555;2;0;--;--;--;--;--;--;--;--;--;--;--;--;--;--
100990095;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;Makine Mühendisliði;SAY;25;22;290,19382;318,98966;1;0;--;--;--;--;--;--;--;--;--;--;--;--;--;--
100990067;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Saðlýk Bilimleri Fakültesi;Beslenme ve Diyetetik;SAY;30;30;286,85423;320,88975;1;1;255,22944;255,22944;--;--;--;--;1;1;195,97298;195,97298;--;--;--;--
100990029;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Saðlýk Bilimleri Fakültesi;Ebelik;SAY;65;65;310,79854;330,84232;2;2;272,89063;276,12494;--;--;--;--;2;2;193,84214;202,82296;--;--;--;--
100990123;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Saðlýk Bilimleri Fakültesi;Fizyoterapi ve Rehabilitasyon;SAY;30;30;280,11310;301,96412;1;1;240,05149;240,05149;--;--;--;--;1;1;217,20660;217,20660;--;--;--;--
100990030;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Saðlýk Bilimleri Fakültesi;Hemþirelik;SAY;110;110;328,33749;374,84085;3;3;293,47762;305,00670;--;--;--;--;3;3;210,16849;223,06215;--;--;--;--
100910285;DEVLET;AMASYA ÜNÝVERSÝTESÝ;Týp Fakültesi;Týp;SAY;80;80;471,96948;500,52533;2;2;466,67482;467,05599;--;--;--;--;--;--;--;--;--;--;--;--
101010801;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Açýköðretim Fakültesi;Felsefe (Açýköðretim);EA;200;205;243,56650;360,82570;5;0;--;--;--;--;--;--;5;5;242,68179;243,36630;--;--;--;--
101090550;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Açýköðretim Fakültesi;Görsel Ýletiþim Tasarýmý (Açýköðretim);SÖZ;2500;2563;229,31609;408,21941;63;0;--;--;--;--;--;--;63;63;225,87194;229,29980;--;--;--;--
101011192;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Açýköðretim Fakültesi;Halkla Ýliþkiler ve Reklamcýlýk (Açýköðretim);SÖZ;5800;5945;236,23402;417,82882;145;0;--;--;--;--;--;--;145;145;232,08279;236,23091;--;--;--;--
101011226;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Açýköðretim Fakültesi;Saðlýk Yönetimi (Açýköðretim);EA;200;203;286,40507;387,23170;5;2;172,40144;238,37341;--;--;--;--;5;5;270,58421;278,68697;--;--;--;--
101011208;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Açýköðretim Fakültesi;Sosyal Hizmet (Açýköðretim);EA;200;204;291,18921;368,64065;5;1;233,00943;233,00943;--;--;--;--;5;5;280,84520;290,05622;--;--;--;--
101010819;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Açýköðretim Fakültesi;Sosyoloji (Açýköðretim);EA;200;205;264,91746;373,69538;5;0;--;--;--;--;--;--;5;5;262,90865;264,07751;--;--;--;--
101010916;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Açýköðretim Fakültesi;Tarih (Açýköðretim);SÖZ;200;205;332,15040;436,35598;5;0;--;--;--;--;--;--;5;5;322,03293;331,80590;--;--;--;--
101010828;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Açýköðretim Fakültesi;Türk Dili ve Edebiyatý (Açýköðretim);SÖZ;200;204;319,97197;415,60809;5;1;311,05003;311,05003;--;--;--;--;5;5;315,44675;319,93907;--;--;--;--
101011235;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Açýköðretim Fakültesi;Yönetim Biliþim Sistemleri (Açýköðretim);EA;200;204;282,74842;374,84536;5;1;226,68326;226,68326;--;--;--;--;5;5;266,91633;276,63642;--;--;--;--
101010016;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Eczacýlýk Fakültesi;Eczacýlýk;SAY;100;100;439,27836;453,89386;3;3;425,43377;433,22003;--;--;--;--;--;--;--;--;--;--;--;--
101010025;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Edebiyat Fakültesi;Arkeoloji;EA;30;31;280,97731;323,62558;1;0;--;--;--;--;--;--;1;1;248,37219;248,37219;--;--;--;--
101010034;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Edebiyat Fakültesi;Felsefe;EA;50;52;283,33367;318,00907;2;0;--;--;--;--;--;--;2;2;239,05054;246,90146;--;--;--;--
101090580;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Edebiyat Fakültesi;Psikoloji;EA;60;60;395,14151;427,35603;2;2;367,15284;393,20445;--;--;--;--;2;2;280,24108;309,21759;--;--;--;--
101010907;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Edebiyat Fakültesi;Rus Dili ve Edebiyatý (Rusça);DÝL;45;47;395,97495;434,57435;2;0;--;--;--;--;--;--;2;2;256,89616;312,26733;--;--;--;--
101010043;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Edebiyat Fakültesi;Sanat Tarihi;SÖZ;30;31;344,62556;384,20233;1;0;--;--;--;--;--;--;1;1;301,25607;301,25607;--;--;--;--
101010052;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Edebiyat Fakültesi;Sosyoloji;EA;40;41;311,01043;346,16613;1;0;--;--;--;--;--;--;1;1;273,04846;273,04846;--;--;--;--
101010061;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Edebiyat Fakültesi;Tarih;SÖZ;30;31;379,20982;421,37384;1;0;--;--;--;--;--;--;1;1;331,70799;331,70799;--;--;--;--
101010079;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Edebiyat Fakültesi;Türk Dili ve Edebiyatý;SÖZ;30;31;383,12366;417,19225;1;0;--;--;--;--;--;--;1;1;265,59063;265,59063;--;--;--;--
101010088;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Eðitim Fakültesi;Almanca Öðretmenliði;DÝL;50;52;398,98203;432,47513;2;0;--;--;--;--;--;--;--;--;--;--;--;--;--;--
101010097;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Eðitim Fakültesi;Bilgisayar ve Öðretim Teknolojileri Öðretmenliði;SAY;20;21;303,71124;334,93308;1;0;--;--;--;--;--;--;--;--;--;--;--;--;--;--
101010104;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Eðitim Fakültesi;Fransýzca Öðretmenliði;DÝL;40;41;388,54561;441,57574;1;0;--;--;--;--;--;--;--;--;--;--;--;--;--;--
101010113;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Eðitim Fakültesi;Ýlköðretim Matematik Öðretmenliði;SAY;50;52;332,34414;428,98170;2;0;--;--;--;--;--;--;--;--;--;--;--;--;--;--
101010122;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Eðitim Fakültesi;Ýngilizce Öðretmenliði;DÝL;50;50;455,27252;481,96502;2;2;440,36423;441,14529;--;--;--;--;--;--;--;--;--;--;--;--
101010131;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Eðitim Fakültesi;Ýngilizce Öðretmenliði (Ýngilizce) (UOLP-Suny Cortland) (Ücretli);DÝL;30;30;333,62740;414,18211;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
101010167;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Eðitim Fakültesi;Okul Öncesi Öðretmenliði;SÖZ;50;50;428,08014;447,46420;2;2;412,87654;414,16791;--;--;--;--;--;--;--;--;--;--;--;--
101011305;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Eðitim Fakültesi;Özel Eðitim Öðretmenliði;SÖZ;70;70;448,77531;489,34396;2;2;444,03400;445,25830;--;--;--;--;--;--;--;--;--;--;--;--
101010776;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Eðitim Fakültesi;Rehberlik ve Psikolojik Danýþmanlýk;EA;40;40;374,53600;396,62723;1;1;360,33032;360,33032;--;--;--;--;--;--;--;--;--;--;--;--
101010176;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Eðitim Fakültesi;Sýnýf Öðretmenliði;EA;50;50;376,47212;421,06700;2;2;364,31246;369,00319;--;--;--;--;--;--;--;--;--;--;--;--
101010185;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Eðitim Fakültesi;Sosyal Bilgiler Öðretmenliði;SÖZ;50;52;386,50660;416,79353;2;0;--;--;--;--;--;--;--;--;--;--;--;--;--;--
101010255;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Hukuk Fakültesi;Hukuk;EA;300;300;416,87153;456,50292;8;8;404,24722;409,73039;--;--;--;--;--;--;--;--;--;--;--;--
101010264;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýktisadi ve Ýdari Bilimler Fakültesi;Çalýþma Ekonomisi ve Endüstri Ýliþkileri;EA;95;98;296,52252;346,27351;3;0;--;--;--;--;--;--;3;3;209,91905;222,73967;--;--;--;--
101010273;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýktisadi ve Ýdari Bilimler Fakültesi;Ýktisat;EA;160;163;315,63133;377,56504;4;1;248,02931;248,02931;--;--;--;--;4;4;191,14409;208,22480;--;--;--;--
101010282;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýktisadi ve Ýdari Bilimler Fakültesi;Ýktisat (Ýngilizce);EA;90;92;342,31069;378,25227;3;1;251,41258;251,41258;--;--;--;--;3;1;194,97575;194,97575;--;--;--;--
101010291;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýktisadi ve Ýdari Bilimler Fakültesi;Ýktisat (Ýngilizce) (UOLP-Suny Cortland) (Ücretli);EA;20;20;258,43118;342,22872;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
101010307;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýktisadi ve Ýdari Bilimler Fakültesi;Ýþletme;EA;160;162;325,97146;364,81052;4;2;286,04615;295,76360;--;--;--;--;4;4;208,78207;225,11344;--;--;--;--
101010316;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýktisadi ve Ýdari Bilimler Fakültesi;Ýþletme (Ýngilizce);EA;85;85;354,87490;394,11781;3;3;304,27043;328,31545;--;--;--;--;3;1;187,23539;187,23539;--;--;--;--
101010855;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýktisadi ve Ýdari Bilimler Fakültesi;Ýþletme (Ýngilizce) (UOLP-Suny Empire State College) (Ücretli);EA;30;30;270,86651;308,76924;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
101010325;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýktisadi ve Ýdari Bilimler Fakültesi;Maliye;EA;110;113;310,19999;349,92128;3;0;--;--;--;--;--;--;3;3;198,89200;209,24300;--;--;--;--
101011165;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýktisadi ve Ýdari Bilimler Fakültesi;Maliye (KKTC Uyruklu);EA;1;1;268,37820;268,37820;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
101090535;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýktisadi ve Ýdari Bilimler Fakültesi;Siyaset Bilimi ve Kamu Yönetimi;EA;70;70;328,19620;359,10765;2;2;260,32004;271,22850;--;--;--;--;2;2;214,87544;217,85999;--;--;--;--
101010722;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýktisat Fakültesi;Çalýþma Ekonomisi ve Endüstri Ýliþkileri (Açýköðretim);EA;600;615;225,49279;360,21711;15;0;--;--;--;--;--;--;15;15;222,06996;224,97927;--;--;--;--
101010731;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýktisat Fakültesi;Ýktisat (Açýköðretim);EA;500;513;233,71506;371,10354;13;0;--;--;--;--;--;--;13;13;226,69281;232,95282;--;--;--;--
101090552;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýktisat Fakültesi;Ýktisat (Ýngilizce) (Açýköðretim);EA;180;185;224,51375;329,00413;5;0;--;--;--;--;--;--;5;5;215,01949;222,50832;--;--;--;--
101010758;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýktisat Fakültesi;Maliye (Açýköðretim);EA;600;613;231,52747;408,12770;15;2;223,57361;225,58441;--;--;--;--;15;15;224,30301;231,45441;--;--;--;--
101090538;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýktisat Fakültesi;Siyaset Bilimi ve Kamu Yönetimi (Açýköðretim);EA;1000;1025;237,05803;379,84983;25;0;--;--;--;--;--;--;25;25;230,51399;236,93725;--;--;--;--
101090553;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýktisat Fakültesi;Siyaset Bilimi ve Kamu Yönetimi (Ýngilizce) (Açýköðretim);EA;180;185;223,08005;295,48931;5;0;--;--;--;--;--;--;5;5;216,44103;222,33243;--;--;--;--
101010837;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýktisat Fakültesi;Uluslararasý Ýliþkiler (Açýköðretim);EA;700;718;231,01018;391,54292;18;0;--;--;--;--;--;--;18;18;226,69401;229,73530;--;--;--;--
101090554;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýktisat Fakültesi;Uluslararasý Ýliþkiler (Ýngilizce) (Açýköðretim);EA;150;154;242,96500;317,98260;4;0;--;--;--;--;--;--;4;4;234,14161;242,46398;--;--;--;--
101090566;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýletiþim Bilimleri Fakültesi;Gazetecilik;SÖZ;85;88;345,65271;405,65743;3;0;--;--;--;--;--;--;3;3;253,80372;282,03003;--;--;--;--
101010352;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýletiþim Bilimleri Fakültesi;Halkla Ýliþkiler ve Reklamcýlýk;SÖZ;85;88;365,36908;430,73791;3;0;--;--;--;--;--;--;3;3;249,05615;257,05403;--;--;--;--
101010343;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýletiþim Bilimleri Fakültesi;Ýletiþim Tasarýmý ve Yönetimi;SÖZ;85;88;357,37250;413,12673;3;0;--;--;--;--;--;--;3;3;225,88817;263,51545;--;--;--;--
101010361;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýletiþim Bilimleri Fakültesi;Sinema ve Televizyon;SÖZ;80;82;372,86431;452,05827;2;0;--;--;--;--;--;--;2;2;252,64397;271,28049;--;--;--;--
101011323;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýþletme Fakültesi;Havacýlýk Yönetimi (Açýköðretim);EA;1000;1025;241,81442;417,53952;25;0;--;--;--;--;--;--;--;--;--;--;--;--;--;--
101010767;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýþletme Fakültesi;Ýþletme (Açýköðretim);EA;900;913;246,36322;386,39213;23;10;184,16841;232,77570;--;--;--;--;23;23;236,32465;245,70439;--;--;--;--
101090555;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýþletme Fakültesi;Ýþletme (Ýngilizce) (Açýköðretim);EA;150;153;249,62280;408,09460;4;1;225,68194;225,68194;--;--;--;--;4;4;222,83566;237,66519;--;--;--;--
101090547;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Ýþletme Fakültesi;Uluslararasý Ticaret ve Lojistik (Açýköðretim);EA;480;491;242,82330;361,29342;12;1;203,58273;203,58273;--;--;--;--;12;12;234,73660;241,95986;--;--;--;--
101090573;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Saðlýk Bilimleri Fakültesi;Beslenme ve Diyetetik;SAY;30;30;346,97689;369,15906;1;1;319,79370;319,79370;--;--;--;--;1;1;229,66260;229,66260;--;--;--;--
101010997;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Saðlýk Bilimleri Fakültesi;Dil ve Konuþma Terapisi;SAY;65;65;418,78625;431,68615;2;2;365,57362;390,32419;--;--;--;--;2;2;221,43256;234,13223;--;--;--;--
101011129;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Saðlýk Bilimleri Fakültesi;Dil ve Konuþma Terapisi (KKTC Uyruklu);SAY;1;1;316,51164;316,51164;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
101011005;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Saðlýk Bilimleri Fakültesi;Sosyal Hizmet;EA;70;70;313,01327;367,95924;2;2;249,10000;255,46892;--;--;--;--;2;2;238,28210;268,27615;--;--;--;--
101011014;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Turizm Fakültesi;Gastronomi ve Mutfak Sanatlarý;SÖZ;65;65;419,12630;448,14526;2;2;385,23371;388,52861;--;--;--;--;2;2;307,32303;341,73641;--;--;--;--
101090587;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Turizm Fakültesi;Turizm Ýþletmeciliði;EA;55;56;289,78066;341,10080;2;1;275,51142;275,51142;--;--;--;--;2;2;201,61607;203,74789;--;--;--;--
101011023;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Turizm Fakültesi;Turizm Rehberliði;DÝL;45;47;393,98980;433,31588;2;0;--;--;--;--;--;--;2;0;--;--;--;--;--;--
101090527;DEVLET;ANADOLU ÜNÝVERSÝTESÝ (ESKÝÞEHÝR);Turizm Fakültesi;Turizm Rehberliði (KKTC Uyruklu);DÝL;1;0;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
209510018;VAKIF;ANKARA BÝLÝM ÜNÝVERSÝTESÝ;Güzel Sanatlar ve Tasarým Fakültesi;Film Tasarýmý ve Yönetimi (Ýngilizce) (%50 Ýndirimli);SÖZ;23;19;174,80101;342,03993;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
209510017;VAKIF;ANKARA BÝLÝM ÜNÝVERSÝTESÝ;Güzel Sanatlar ve Tasarým Fakültesi;Film Tasarýmý ve Yönetimi (Ýngilizce) (Burslu);SÖZ;4;4;394,02344;402,06621;--;--;--;--;1;0;--;--;--;--;--;--;1;1;251,34860;251,34860
209510016;VAKIF;ANKARA BÝLÝM ÜNÝVERSÝTESÝ;Güzel Sanatlar ve Tasarým Fakültesi;Film Tasarýmý ve Yönetimi (Ýngilizce) (Ücretli);SÖZ;2;2;210,03480;246,44473;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
209510031;VAKIF;ANKARA BÝLÝM ÜNÝVERSÝTESÝ;Güzel Sanatlar ve Tasarým Fakültesi;Ýç Mimarlýk ve Çevre Tasarýmý (Ýngilizce) (%50 Ýndirimli);EA;30;30;277,55491;330,65899;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
209510030;VAKIF;ANKARA BÝLÝM ÜNÝVERSÝTESÝ;Güzel Sanatlar ve Tasarým Fakültesi;Ýç Mimarlýk ve Çevre Tasarýmý (Ýngilizce) (Burslu);EA;5;5;363,70451;368,47101;--;--;--;--;1;1;341,80057;341,80057;--;--;--;--;1;1;293,01297;293,01297
209510029;VAKIF;ANKARA BÝLÝM ÜNÝVERSÝTESÝ;Güzel Sanatlar ve Tasarým Fakültesi;Ýç Mimarlýk ve Çevre Tasarýmý (Ýngilizce) (Ücretli);EA;4;4;260,78761;295,56220;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
209510021;VAKIF;ANKARA BÝLÝM ÜNÝVERSÝTESÝ;Güzel Sanatlar ve Tasarým Fakültesi;Yeni Medya ve Ýletiþim (Ýngilizce) (%50 Ýndirimli);SÖZ;35;22;173,42210;358,61548;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
209510020;VAKIF;ANKARA BÝLÝM ÜNÝVERSÝTESÝ;Güzel Sanatlar ve Tasarým Fakültesi;Yeni Medya ve Ýletiþim (Ýngilizce) (Burslu);SÖZ;6;6;368,74448;440,97490;--;--;--;--;1;1;334,59568;334,59568;--;--;--;--;1;1;310,16806;310,16806
209510019;VAKIF;ANKARA BÝLÝM ÜNÝVERSÝTESÝ;Güzel Sanatlar ve Tasarým Fakültesi;Yeni Medya ve Ýletiþim (Ýngilizce) (Ücretli);SÖZ;2;1;229,88140;229,88140;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
209510124;VAKIF;ANKARA BÝLÝM ÜNÝVERSÝTESÝ;Hukuk Fakültesi;Hukuk (%50 Ýndirimli);EA;60;60;358,20653;380,46826;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
209510039;VAKIF;ANKARA BÝLÝM ÜNÝVERSÝTESÝ;Hukuk Fakültesi;Hukuk (Burslu);EA;10;10;410,73496;423,25757;--;--;--;--;1;1;407,42323;407,42323;--;--;--;--;2;0;--;--
